storenum,storename,telephone,address1,address2,city,state,zipcode,zipcode4,longitude,latitude,website,orgname
2850,CVS - 1142,585-671-5665,1900 EMPIRE BOULEVARD,NA,WEBSTER,NY,14580,1934,-77.501365,43.191229,HTTP://WWW.CVS.COM,CVS ALBANY LLC
2849,CVS - 2067,585-321-2581,2580 EAST HENRIETTA ROAD,NA,ROCHESTER,NY,14623,4526,-77.606816,43.069235,HTTP://WWW.CVS.COM,CVS ALBANY LLC
2852,CVS - 2217,585-723-3051,878 LONG POND ROAD,NA,GREECE,NY,14612,3049,-77.695905,43.238923,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4603,CVS - 2218,585-581-5101,3750 MOUNT READ BOULEVARD,NA,ROCHESTER,NY,14616,3436,-77.658331,43.227241,HTTP://WWW.CVS.COM,CVS ALBANY LLC
6057,CVS - 2501,585-426-2991,2709 CHILI AVENUE,NA,ROCHESTER,NY,14624,4123,-77.709106,43.122328,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4600,CVS - 466,585-244-4220,685 PARK AVENUE,NA,ROCHESTER,NY,14607,3017,-77.57744,43.147678,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4601,CVS - 545,585-377-6170,2200 PENFIELD ROAD,PENN FAIR PLAZA,PENFIELD,NY,14526,1711,-77.439842,43.132637,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5057,CVS - 547,585-271-5031,789 ELMWOOD AVENUE,NA,ROCHESTER,NY,14620,2946,-77.616952,43.124313,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5338,CVS - 586,585-247-0170,525 SPENCERPORT ROAD,NA,ROCHESTER,NY,14606,4815,-77.705175,43.169679,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4641,CVS - 592,585-461-3995,2100 MONROE AVENUE,NA,ROCHESTER,NY,14618,2408,-77.560946,43.123848,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5970,CVS - 653,585-342-6100,1370 NORTON STREET,NORTH TOWN PLAZA,ROCHESTER,NY,14621,3936,-77.585521,43.187826,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4012,CVS - 739,585-254-4670,1455 LAKE AVENUE,NA,ROCHESTER,NY,14615,3000,-77.629844,43.192932,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4332,CVS - 753,585-288-4422,2300 EAST MAIN STREET,NA,ROCHESTER,NY,14609,7623,-77.54892,43.159809,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4889,CVS - 755,585-461-3770,1900 SOUTH CLINTON AVENUE,NA,ROCHESTER,NY,14618,5621,-77.592656,43.120219,HTTP://WWW.CVS.COM,CVS ALBANY LLC
5032,CVS - 831,585-787-3571,935 RIDGE ROAD,NA,WEBSTER,NY,14580,2553,-77.464463,43.207248,HTTP://WWW.CVS.COM,CVS ALBANY LLC
4599,RITE AID - 10850,585-594-8700,4374 BUFFALO ROAD,NA,NORTH CHILI,NY,14514,1206,-77.806208,43.120313,HTTP://WWW.RITEAID.COM,RITE AID CORP.
